datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_upper,kc_lower,kc_position,kc_width
2024-01-25 22:30:00,2024.01.25,22:30:00,2017.56,2017.9,2017.18,2017.48,1487,0,5,2016.3969999999997,2019.9539430696216,2012.8400569303778,0.0035280186090555247,0.6522374661053323,2016.9383420307568,2019.8723420307567,2014.0043420307568,0.592307084056453,0.2909360131500964
2024-01-25 22:45:00,2024.01.25,22:45:00,2017.49,2020.35,2017.28,2020.06,3081,0,18,2016.3870000000002,2019.9013141579164,2012.872685842084,0.0034857536355037597,1.0225770712225688,2017.1565951706846,2019.9735951706846,2014.3395951706846,1.015336320432263,0.2793040467700172
2024-01-25 23:00:00,2024.01.25,23:00:00,2020.0,2020.02,2018.76,2019.27,848,0,29,2016.361,2019.7806426714692,2012.941357328531,0.003391895272194901,0.9253368377155852,2017.3654908687145,2019.9379908687145,2014.7929908687145,0.8701669837289657,0.255035590887621
2024-01-25 23:15:00,2024.01.25,23:15:00,2019.29,2019.99,2019.25,2019.87,475,0,5,2016.5390000000002,2020.2845728534535,2012.793427146547,0.0037148528775821027,0.9446582846371053,2017.5881425320115,2019.9596425320115,2015.2166425320115,0.9811000354181809,0.23508266627933377
2024-01-25 23:30:00,2024.01.25,23:30:00,2019.88,2019.99,2019.09,2019.61,601,0,29,2016.7975000000001,2020.6402952066849,2012.9547047933154,0.003810789339717786,0.8659445597188322,2017.7762559416612,2019.9572559416613,2015.5952559416612,0.9203906598667169,0.21617857714181543
2024-01-25 23:45:00,2024.01.25,23:45:00,2019.58,2020.9,2019.58,2020.7,602,0,5,2017.0994999999998,2021.165748762743,2013.0332512372565,0.004031778068204639,0.9427299225996176,2018.0255014075349,2019.932001407535,2016.1190014075348,1.2014158385693938,0.1889470671872385
2024-01-26 01:00:00,2024.01.26,01:00:00,2020.26,2020.42,2019.47,2019.86,407,0,20,2017.3314999999998,2021.4711438253191,2013.1918561746804,0.004104078903560822,0.8054006705281052,2018.205612384595,2020.169112384595,2016.242112384595,0.9212853617022666,0.19457878701269782
2024-01-26 01:15:00,2024.01.26,01:15:00,2019.84,2021.76,2019.68,2020.07,3039,0,20,2017.562,2021.771929215616,2013.3520707843838,0.004173283612217179,0.7978672409380441,2018.4244429511416,2020.5169429511416,2016.3319429511416,0.8932035959040281,0.20733993856520339
2024-01-26 01:30:00,2024.01.26,01:30:00,2020.06,2021.31,2019.58,2020.79,1875,0,20,2017.9115000000002,2021.972087519127,2013.8509124808734,0.004024544702903754,0.854443782635033,2018.6278293367473,2020.7623293367474,2016.4933293367471,1.006481766983507,0.2114802906191421
2024-01-26 01:45:00,2024.01.26,01:45:00,2020.79,2021.29,2020.4,2020.62,553,0,5,2018.196,2022.177700139448,2014.2142998605518,0.0039458012397686785,0.8043925854667663,2018.8318455903905,2020.9288455903904,2016.7348455903905,0.9263601358153195,0.20774389948130917
