datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_atr,kc_upper,kc_lower,kc_position,kc_width_pct
2024-01-03 07:00:00,2024.01.03,07:00:00,2064.74,2064.74,2063.5,2063.87,1023,0,4,2063.3845,2066.659022713316,2060.109977286684,0.003173933615684276,0.5741329412719408,2063.4892460049336,1.3173405260524211,2065.4652567940125,2061.513235215855,0.5963441083344849,0.1915213072134521
2024-01-03 07:15:00,2024.01.03,07:15:00,2063.77,2064.32,2063.38,2063.58,648,0,20,2063.4595,2066.6793290327314,2060.2396709672685,0.0031208066189149512,0.5187121736550355,2063.515032099702,1.2796064734471844,2065.4344418098726,2061.595622389531,0.5169239271724744,0.18603302426324173
2024-01-03 07:30:00,2024.01.03,07:30:00,2063.6,2066.05,2063.48,2064.96,1853,0,20,2063.6910000000003,2066.631148975821,2060.7508510241796,0.002849408148623653,0.7158053912294661,2063.6402671378255,1.4086458261024823,2065.753235876979,2061.527298398672,0.812293513320795,0.20478072392763697
2024-01-03 07:45:00,2024.01.03,07:45:00,2064.94,2065.05,2063.66,2064.05,1381,0,20,2063.8925,2066.303432392254,2061.481567607746,0.00233629648080404,0.5326637114558429,2063.6986543945404,1.4067812434922669,2065.808826259779,2061.588482529302,0.5832504715012976,0.2045038756743865
2024-01-03 08:00:00,2024.01.03,08:00:00,2064.05,2065.46,2063.62,2065.17,1522,0,20,2064.0469999999996,2066.367880005518,2061.726119994481,0.002248863524443557,0.741934093389197,2063.7987825474415,1.450103119143055,2065.973937226156,2061.623627868727,0.8151999869197571,0.2107913520551302
2024-01-03 08:15:00,2024.01.03,08:15:00,2065.15,2065.39,2063.31,2064.58,1609,0,20,2064.2185,2066.1282463182356,2062.3087536817643,0.0018503334973847467,0.5946460785257479,2063.858581034987,1.5130928072287424,2066.12822024583,2061.5889418241436,0.6589281154393343,0.21994134982883082
2024-01-03 08:30:00,2024.01.03,08:30:00,2064.59,2064.95,2064.14,2064.21,1723,0,19,2064.3625,2065.7392770335146,2062.985722966486,0.001333852008563779,0.4446170308307392,2063.913319349115,1.4427835265058628,2066.077494638874,2061.7491440593562,0.568543581540904,0.2097157152357048
2024-01-03 08:45:00,2024.01.03,08:45:00,2064.19,2065.22,2063.69,2064.34,2049,0,7,2064.4585,2065.5092573459237,2063.4077426540766,0.001017949593972034,0.4436121001391215,2063.961257188882,1.4515051738552511,2066.138514949665,2061.783999428099,0.5869770263172601,0.21097854944704514
2024-01-03 09:00:00,2024.01.03,09:00:00,2064.31,2064.43,2061.97,2062.1,4000,0,19,2064.3635,2065.825844350696,2062.9011556493037,0.001416750829683033,-0.27392852063962475,2063.853835869306,1.55235465646973,2066.1823678540104,2061.5253038846013,0.12340309670935269,0.2256489237983056
2024-01-03 09:15:00,2024.01.03,09:15:00,2062.13,2062.57,2060.79,2061.36,5101,0,19,2064.226,2066.1892055419685,2062.2627944580317,0.0019021226764592285,-0.22992866481174842,2063.636645151594,1.575119190822777,2065.999323937828,2061.27396636536,0.018206798812698873,0.22898205377240394
2024-01-03 09:30:00,2024.01.03,09:30:00,2061.38,2063.48,2060.94,2063.26,3995,0,16,2064.1615,2066.1622925929532,2062.160707407047,0.0019386008245508653,0.27471427993708974,2063.534107518109,1.671607271740496,2066.04151842572,2061.026696610498,0.44534052690030995,0.24302102867847486
2024-01-03 09:45:00,2024.01.03,09:45:00,2063.27,2063.9,2062.51,2062.83,3946,0,16,2064.0675,2066.1320181035817,2062.0029818964185,0.0020004366170985944,0.20029325539617782,2063.4908591830513,1.6434465445664337,2065.956028999901,2061.0256893662017,0.3659607182973069,0.23893198323403425
2024-01-03 10:00:00,2024.01.03,10:00:00,2062.81,2064.43,2062.29,2063.8,4403,0,16,2064.0735,2066.1341724630606,2062.0128275369393,0.0019967045389233037,0.4336381679033154,2063.4923646576813,1.6931018901097776,2066.032017492846,2060.9527118225164,0.5605664164131616,0.24615093117498657
2024-01-03 10:15:00,2024.01.03,10:15:00,2063.8,2063.8,2058.84,2060.72,5953,0,16,2063.929,2066.4527028351254,2061.405297164875,0.002445532608074481,-0.13577215893585814,2063.2664251664737,2.0197917010988036,2066.296112718122,2060.2367376148254,0.07975449232569658,0.29367875274797295
2024-01-03 10:30:00,2024.01.03,10:30:00,2060.72,2061.8,2059.79,2061.64,5306,0,16,2063.757,2066.4091093491825,2061.1048906508177,0.0025701759937651674,0.10088372663577845,2063.0578767379207,2.018812530988945,2066.086095534404,2060.029657941437,0.2658893175804769,0.29356605363604454
2024-01-03 10:45:00,2024.01.03,10:45:00,2061.64,2061.81,2059.3,2060.03,4854,0,16,2063.5035,2066.5356627594874,2060.471337240512,0.0029388491558047943,-0.07277598129108387,2062.802840858119,2.0679312778900267,2065.904737774954,2059.700943941284,0.053041101548252895,0.30074584496349877
2024-01-03 11:00:00,2024.01.03,11:00:00,2060.05,2060.66,2057.84,2058.41,4838,0,16,2063.1890000000003,2066.8904586314084,2059.4875413685922,0.003588094577285996,-0.14555631656249102,2062.437808395441,2.1431381501009947,2065.6525156205926,2059.2231011702897,-0.12646581995528156,0.3117385854802991
2024-01-03 11:15:00,2024.01.03,11:15:00,2058.41,2059.29,2057.76,2058.8,4778,0,16,2062.874,2066.9269219089474,2058.821078091052,0.003929393563492109,-0.0026003574119538722,2062.073890135558,2.08182433509087,2065.196626638194,2058.951153632922,-0.024202111320328283,0.30287338563128396
2024-01-03 11:30:00,2024.01.03,11:30:00,2058.8,2059.24,2054.2,2055.13,4675,0,16,2062.3805,2067.5323869358745,2057.228613064126,0.004996058618547105,-0.2036742158986972,2061.5135196464576,2.377641901581779,2065.0799824988303,2057.947056794085,-0.3949370722045397,0.34600431366410705
2024-01-03 11:45:00,2024.01.03,11:45:00,2055.13,2057.09,2055.04,2056.8,5491,0,16,2061.982,2067.5491522343145,2056.4148477656854,0.005399806821121195,0.03459149472694401,2061.017946346795,2.3448777114236194,2064.53526291393,2057.5006297796594,-0.09959720233966388,0.3413183833134396
